query	babraham.fa	babyrousa.fa	bama.fa	bamei.fa	berkshire.fa	duroc11.fa	euw.fa	Goettingen.fa	hampshire.fa	jinhua.fa	koreanmini.fa	landrace.fa	largewhite.fa	meishan.fa	minidonna.fa	Nanchukmacdonkorean.fa	ningheduroc.fa	ningxiang.fa	p1.chr.fa	p2.chr.fa	p3.chr.fa	pietrain.fa	rongchang.fa	sus_cebifrons.fa	swt.fa	tc.fa	tibet.fa	usmarcv1.fa	warthog.fa	wuzhishan.fa
babraham.fa	0	0.0196423	0.00592683	0.00548107	0.00323436	0.00379228	0.00323436	0.00638268	0.00307791	0.00521831	0.00530551	0.00307791	0.00238956	0.00504505	0.0033921	0.00331307	0.00420097	0.00556943	0.00619911	0.00583688	0.00675488	0.00246481	0.0048733	0.0121828	0.00530551	0.00495899	0.00629069	0.00428375	0.0193157	0.00601718
babyrousa.fa	0.0196423	0	0.0196423	0.0193157	0.0203082	0.0199731	0.019154	0.0208192	0.0198072	0.0186748	0.0196423	0.0201401	0.0201401	0.0189932	0.0194785	0.0194785	0.0208192	0.0194785	0.0193157	0.0198072	0.0206477	0.0203082	0.0201401	0.0199731	0.0193157	0.0193157	0.0203082	0.0201401	0.0194785	0.0208192
bama.fa	0.00592683	0.0196423	0	0.00387333	0.00583688	0.00675488	0.00574733	0.00495899	0.00574733	0.00428375	0.0048733	0.00574733	0.00601718	0.0048733	0.00610794	0.00583688	0.00675488	0.00478799	0.00513149	0.00539309	0.00742293	0.0066612	0.00521831	0.0110067	0.00478799	0.00478799	0.00539309	0.00675488	0.0198072	0.0048733
bamei.fa	0.00548107	0.0193157	0.00387333	0	0.0048733	0.00521831	0.00436689	0.00445039	0.00478799	0.00387333	0.00453424	0.00495899	0.00504505	0.00420097	0.0048733	0.00495899	0.00601718	0.00395472	0.00504505	0.00495899	0.00656794	0.00539309	0.00453424	0.0110067	0.00395472	0.0033921	0.00445039	0.00619911	0.0201401	0.00436689
berkshire.fa	0.00323436	0.0203082	0.00583688	0.0048733	0	0.00387333	0.00246481	0.0064751	0.00223998	0.00530551	0.00565818	0.00269238	0.00307791	0.00513149	0.00347147	0.00387333	0.00379228	0.00548107	0.00548107	0.00565818	0.00694355	0.00300017	0.00495899	0.0113531	0.00530551	0.00436689	0.00565818	0.00371157	0.0194785	0.00583688
duroc11.fa	0.00379228	0.0199731	0.00675488	0.00521831	0.00387333	0	0.00371157	0.00583688	0.00387333	0.00629069	0.00592683	0.00403645	0.00453424	0.00504505	0.00420097	0.00347147	0.00436689	0.00592683	0.00619911	0.00629069	0.00675488	0.0033921	0.00583688	0.0124256	0.00548107	0.00513149	0.00629069	0.0048733	0.0193157	0.00619911
euw.fa	0.00323436	0.019154	0.00574733	0.00436689	0.00246481	0.00371157	0	0.00565818	0.00261621	0.00521831	0.00504505	0.00284564	0.00307791	0.0048733	0.00315597	0.00276885	0.00331307	0.00556943	0.00592683	0.00574733	0.00619911	0.00331307	0.00495899	0.0111215	0.00513149	0.00379228	0.00565818	0.00323436	0.0189932	0.00574733
Goettingen.fa	0.00638268	0.0208192	0.00495899	0.00445039	0.0064751	0.00583688	0.00565818	0	0.00556943	0.00504505	0.00453424	0.00548107	0.00574733	0.00504505	0.00601718	0.00629069	0.00619911	0.00478799	0.00619911	0.00638268	0.00761783	0.00601718	0.00539309	0.0118235	0.00478799	0.00478799	0.00592683	0.00703854	0.0201401	0.00453424
hampshire.fa	0.00307791	0.0198072	0.00574733	0.00478799	0.00223998	0.00387333	0.00261621	0.00556943	0	0.00530551	0.00521831	0.00300017	0.00292275	0.00478799	0.00246481	0.00387333	0.00379228	0.00556943	0.00601718	0.00601718	0.00656794	0.00269238	0.00470304	0.011237	0.00521831	0.00445039	0.00565818	0.0033921	0.0196423	0.00574733
jinhua.fa	0.00521831	0.0186748	0.00428375	0.00387333	0.00530551	0.00629069	0.00521831	0.00504505	0.00530551	0	0.00461846	0.00530551	0.00521831	0.00379228	0.00548107	0.00574733	0.00629069	0.00387333	0.00513149	0.00556943	0.0066612	0.00539309	0.00428375	0.0101084	0.00387333	0.00387333	0.00539309	0.00610794	0.0193157	0.00495899
koreanmini.fa	0.00530551	0.0196423	0.0048733	0.00453424	0.00565818	0.00592683	0.00504505	0.00453424	0.00521831	0.00461846	0	0.00539309	0.00495899	0.00513149	0.00556943	0.00565818	0.00629069	0.00470304	0.00565818	0.00548107	0.00694355	0.00592683	0.00495899	0.0108924	0.00470304	0.00470304	0.00592683	0.00629069	0.0186748	0.00521831
landrace.fa	0.00307791	0.0201401	0.00574733	0.00495899	0.00269238	0.00403645	0.00284564	0.00548107	0.00300017	0.00530551	0.00539309	0	0.00261621	0.00420097	0.00331307	0.0036312	0.00428375	0.00556943	0.00610794	0.00629069	0.00713397	0.00276885	0.00539309	0.0120624	0.00539309	0.0048733	0.00592683	0.00379228	0.0199731	0.00619911
largewhite.fa	0.00238956	0.0201401	0.00601718	0.00504505	0.00307791	0.00453424	0.00307791	0.00574733	0.00292275	0.00521831	0.00495899	0.00261621	0	0.00513149	0.0036312	0.00387333	0.00395472	0.00548107	0.00601718	0.00601718	0.00656794	0.00261621	0.00513149	0.0124256	0.00521831	0.00436689	0.00565818	0.00387333	0.0189932	0.00574733
meishan.fa	0.00504505	0.0189932	0.0048733	0.00420097	0.00513149	0.00504505	0.0048733	0.00504505	0.00478799	0.00379228	0.00513149	0.00420097	0.00513149	0	0.00470304	0.00530551	0.00619911	0.00453424	0.00619911	0.00610794	0.00722985	0.00495899	0.00495899	0.0119426	0.00387333	0.00478799	0.00574733	0.00601718	0.0199731	0.00530551
minidonna.fa	0.0033921	0.0194785	0.00610794	0.0048733	0.00347147	0.00420097	0.00315597	0.00601718	0.00246481	0.00548107	0.00556943	0.00331307	0.0036312	0.00470304	0	0.00387333	0.00445039	0.00610794	0.00601718	0.00583688	0.006849	0.00331307	0.00530551	0.011705	0.00530551	0.00470304	0.00675488	0.00420097	0.0203082	0.00619911
Nanchukmacdonkorean.fa	0.00331307	0.0194785	0.00583688	0.00495899	0.00387333	0.00347147	0.00276885	0.00629069	0.00387333	0.00574733	0.00565818	0.0036312	0.00387333	0.00530551	0.00387333	0	0.00420097	0.00583688	0.00629069	0.00638268	0.00703854	0.0033921	0.00592683	0.0118235	0.00521831	0.00478799	0.00619911	0.00428375	0.019154	0.0064751
ningheduroc.fa	0.00420097	0.0208192	0.00675488	0.00601718	0.00379228	0.00436689	0.00331307	0.00619911	0.00379228	0.00629069	0.00629069	0.00428375	0.00395472	0.00619911	0.00445039	0.00420097	0	0.0064751	0.006849	0.006849	0.00811319	0.00411854	0.00629069	0.0124256	0.0066612	0.00495899	0.0066612	0.00461846	0.0194785	0.00656794
ningxiang.fa	0.00556943	0.0194785	0.00478799	0.00395472	0.00548107	0.00592683	0.00556943	0.00478799	0.00556943	0.00387333	0.00470304	0.00556943	0.00548107	0.00453424	0.00610794	0.00583688	0.0064751	0	0.00583688	0.00629069	0.00761783	0.00592683	0.00470304	0.0108924	0.00347147	0.00428375	0.00539309	0.006849	0.0194785	0.00470304
p1.chr.fa	0.00619911	0.0193157	0.00513149	0.00504505	0.00548107	0.00619911	0.00592683	0.00619911	0.00601718	0.00513149	0.00565818	0.00610794	0.00601718	0.00619911	0.00601718	0.00629069	0.006849	0.00583688	0	0.00122563	0.00722985	0.0064751	0.00530551	0.0103296	0.00583688	0.00548107	0.00601718	0.0064751	0.0196423	0.00601718
p2.chr.fa	0.00583688	0.0198072	0.00539309	0.00495899	0.00565818	0.00629069	0.00574733	0.00638268	0.00601718	0.00556943	0.00548107	0.00629069	0.00601718	0.00610794	0.00583688	0.00638268	0.006849	0.00629069	0.00122563	0	0.00675488	0.00601718	0.00530551	0.0108924	0.00610794	0.00539309	0.00675488	0.00675488	0.0203082	0.0064751
p3.chr.fa	0.00675488	0.0206477	0.00742293	0.00656794	0.00694355	0.00675488	0.00619911	0.00761783	0.00656794	0.0066612	0.00694355	0.00713397	0.00656794	0.00722985	0.006849	0.00703854	0.00811319	0.00761783	0.00722985	0.00675488	0	0.00694355	0.00713397	0.012671	0.0066612	0.00656794	0.00732616	0.00713397	0.0196423	0.00742293
