#Chr	Start	End	Merge	Bampudke	SA
chr1	1	50000	1.66E-09	8.48E-12	9.32E-10
chr1	50001	100000	5.65E-10	8.46E-12	1.13E-09
chr1	100001	150000	6.60E-10	8.46E-12	1.55E-09
chr1	150001	200000	4.60E-10	8.46E-12	7.17E-10
chr1	200001	250000	4.64E-09	1.33E-11	1.77E-09
chr1	250001	300000	3.19E-09	2.58E-11	1.97E-09
chr1	300001	350000	2.09E-09	1.73E-10	3.20E-09
chr1	350001	400000	3.58E-09	1.02E-11	1.79E-09
chr1	400001	450000	2.43E-09	1.02E-11	1.04E-09
chr1	450001	500000	6.53E-09	1.48E-11	1.28E-09
chr1	500001	550000	3.22E-09	1.36E-08	4.09E-09
chr1	550001	600000	1.85E-09	2.61E-11	1.48E-09
chr1	600001	650000	4.12E-09	2.26E-11	6.89E-09
chr1	650001	700000	5.07E-09	2.41E-10	1.29E-08
chr1	700001	750000	5.33E-09	2.08E-10	4.10E-09
chr1	750001	800000	4.70E-09	2.08E-10	5.35E-09
chr1	800001	850000	4.05E-09	4.05E-10	4.49E-09
chr1	850001	900000	2.81E-09	5.44E-10	7.02E-09
chr1	900001	950000	5.28E-09	2.69E-11	3.07E-08
chr1	950001	1000000	6.77E-09	1.54E-08	2.42E-08
chr1	1000001	1050000	1.23E-08	3.28E-08	2.42E-08
chr1	1050001	1100000	1.42E-08	1.19E-08	2.24E-08
chr1	1100001	1150000	1.46E-08	1.05E-08	1.71E-08
chr1	1150001	1200000	2.29E-08	2.67E-08	2.75E-08
chr1	1200001	1250000	1.58E-08	2.46E-08	4.26E-08
chr1	1250001	1300000	7.51E-09	1.53E-08	1.80E-08
chr1	1300001	1350000	5.36E-09	1.47E-08	2.37E-08
chr1	1350001	1400000	1.71E-09	1.53E-08	1.06E-08
chr1	1400001	1450000	1.88E-08	2.09E-08	1.61E-08
chr1	1450001	1500000	1.75E-08	4.31E-08	2.63E-08
chr1	1500001	1550000	1.51E-08	4.72E-08	4.70E-08
chr1	1550001	1600000	6.95E-09	3.26E-08	6.92E-09
chr1	1600001	1650000	8.78E-09	4.34E-08	1.54E-08
chr1	1650001	1700000	1.49E-08	4.70E-08	1.93E-08
chr1	1700001	1750000	1.62E-08	6.24E-08	1.48E-08
chr1	1750001	1800000	1.48E-08	3.92E-08	1.41E-08
chr1	1800001	1850000	2.79E-08	4.56E-08	1.34E-08
chr1	1850001	1900000	2.22E-08	1.29E-07	5.21E-08
chr1	1900001	1950000	3.59E-08	3.09E-08	5.02E-08
chr1	1950001	2000000	3.11E-08	2.49E-08	4.96E-08
chr1	2000001	2050000	5.64E-08	2.53E-08	4.42E-08
chr1	2050001	2100000	2.50E-08	4.98E-08	4.59E-08
chr1	2100001	2150000	3.03E-08	4.68E-08	2.23E-08
chr1	2150001	2200000	3.82E-08	1.29E-07	6.07E-08
chr1	2200001	2250000	2.62E-08	4.72E-08	7.33E-09
chr1	2250001	2300000	4.74E-08	9.85E-08	3.74E-08
chr1	2300001	2350000	4.60E-08	3.40E-08	1.86E-08
chr1	2350001	2400000	2.06E-08	4.72E-08	4.63E-09
chr1	2400001	2450000	3.75E-08	5.26E-08	4.60E-08
chr1	2450001	2500000	3.94E-08	8.32E-08	3.23E-08
chr1	2500001	2550000	5.28E-08	8.12E-08	3.25E-08
chr1	2550001	2600000	3.88E-08	9.06E-08	1.63E-08
chr1	2600001	2650000	3.56E-08	9.29E-08	8.59E-09
chr1	2650001	2700000	3.10E-08	8.32E-08	2.22E-08
chr1	2700001	2750000	1.47E-08	1.25E-07	2.37E-08
chr1	2750001	2800000	8.52E-09	1.34E-07	6.31E-09
chr1	2800001	2850000	8.64E-09	4.36E-08	1.32E-08
chr1	2850001	2900000	1.69E-08	6.11E-08	3.37E-08
chr1	2900001	2950000	1.43E-08	4.11E-08	8.16E-09
chr1	2950001	3000000	2.02E-08	5.56E-08	8.05E-09
chr1	3000001	3050000	1.83E-07	5.84E-08	4.26E-09
chr1	3050001	3100000	3.79E-09	1.92E-08	6.74E-09
chr1	3100001	3150000	1.35E-08	4.72E-08	1.11E-08
chr1	3150001	3200000	5.47E-09	1.07E-07	1.03E-08
chr1	3200001	3250000	1.41E-08	5.94E-08	6.64E-09
chr1	3250001	3300000	5.61E-09	2.66E-08	5.21E-09
chr1	3300001	3350000	1.10E-08	1.41E-07	6.37E-09
chr1	3350001	3400000	1.33E-08	1.60E-07	1.96E-08
chr1	3400001	3450000	2.17E-08	1.83E-07	3.67E-08
chr1	3450001	3500000	9.88E-09	1.46E-07	3.33E-08
chr1	3500001	3550000	4.25E-08	1.45E-07	3.92E-08
chr1	3550001	3600000	2.21E-08	8.83E-08	5.86E-08
chr1	3600001	3650000	1.38E-08	1.12E-07	3.62E-08
chr1	3650001	3700000	2.28E-08	1.37E-07	4.21E-08
chr1	3700001	3750000	2.09E-08	1.05E-07	4.54E-08
chr1	3750001	3800000	1.63E-08	7.66E-08	5.38E-08
chr1	3800001	3850000	1.45E-08	6.84E-08	2.65E-08
chr1	3850001	3900000	6.35E-09	2.25E-08	3.18E-08
chr1	3900001	3950000	2.57E-08	8.03E-08	4.66E-08
chr1	3950001	4000000	2.66E-08	1.02E-08	1.46E-08
chr1	4000001	4050000	2.73E-08	3.18E-08	2.51E-08
chr1	4050001	4100000	1.21E-08	2.56E-08	2.89E-08
chr1	4100001	4150000	7.64E-09	4.54E-08	2.47E-08
chr1	4150001	4200000	1.27E-08	2.41E-08	1.92E-08
chr1	4200001	4250000	1.92E-08	5.17E-08	6.38E-08
chr1	4250001	4300000	2.07E-08	2.54E-08	4.19E-08
chr1	4300001	4350000	3.34E-08	1.56E-08	2.31E-08
chr1	4350001	4400000	2.68E-08	3.85E-09	1.39E-08
chr1	4400001	4450000	1.21E-08	3.92E-09	1.77E-08
chr1	4450001	4500000	2.82E-08	4.26E-09	1.23E-08
chr1	4500001	4550000	3.39E-08	4.22E-09	1.81E-08
chr1	4550001	4600000	3.93E-08	4.38E-09	3.45E-08
chr1	4600001	4650000	2.45E-08	2.05E-09	1.86E-08
chr1	4650001	4700000	3.51E-08	3.36E-09	1.01E-08
chr1	4700001	4750000	1.99E-08	3.45E-09	1.15E-08
chr1	4750001	4800000	2.45E-09	3.45E-09	1.19E-09
chr1	4800001	4850000	1.93E-09	1.71E-09	6.91E-10
chr1	4850001	4900000	5.66E-09	3.11E-09	8.64E-10
chr1	4900001	4950000	2.92E-08	2.70E-09	6.47E-08
chr1	4950001	5000000	1.26E-08	1.05E-08	2.52E-08
chr1	5000001	5050000	2.23E-08	4.55E-08	3.49E-08
chr1	5050001	5100000	9.37E-09	4.97E-08	1.38E-08
chr1	5100001	5150000	9.93E-09	1.02E-07	2.50E-08
chr1	5150001	5200000	7.34E-09	5.38E-08	4.48E-08
chr1	5200001	5250000	8.90E-09	5.90E-08	1.40E-08
chr1	5250001	5300000	1.88E-08	2.37E-08	1.11E-08
chr1	5300001	5350000	1.54E-08	6.71E-09	2.15E-08
chr1	5350001	5400000	7.12E-09	5.22E-08	4.42E-08
chr1	5400001	5450000	6.95E-09	1.40E-08	3.14E-08
chr1	5450001	5500000	2.57E-08	2.12E-08	6.46E-08
chr1	5500001	5550000	5.05E-08	2.03E-08	8.44E-08
chr1	5550001	5600000	6.82E-08	3.42E-08	3.10E-08
chr1	5600001	5650000	2.04E-08	5.03E-09	3.15E-08
chr1	5650001	5700000	2.34E-08	1.41E-08	6.20E-08
chr1	5700001	5750000	2.79E-08	2.63E-08	4.75E-08
chr1	5750001	5800000	2.34E-08	4.51E-12	8.59E-08
chr1	5800001	5850000	2.90E-08	9.10E-23	5.46E-08
chr1	5850001	5900000	1.97E-08	9.10E-23	3.36E-08
chr1	5900001	5950000	1.42E-08	9.10E-23	2.85E-08
chr1	5950001	6000000	3.26E-08	9.10E-23	2.69E-08
chr1	6000001	6050000	1.78E-08	9.10E-23	3.23E-08
chr1	6050001	6100000	4.51E-08	9.10E-23	3.23E-08
chr1	6100001	6150000	3.60E-08	9.10E-23	4.71E-08
chr1	6150001	6200000	3.03E-08	7.27E-09	8.47E-08
chr1	6200001	6250000	3.89E-08	7.70E-09	5.43E-08
chr1	6250001	6300000	3.73E-08	7.81E-09	4.30E-08
chr1	6300001	6350000	6.16E-08	7.56E-09	7.80E-08
chr1	6350001	6400000	7.50E-08	7.60E-09	9.10E-08
chr1	6400001	6450000	6.05E-08	4.75E-09	7.43E-08
chr1	6450001	6500000	1.96E-08	5.19E-09	2.60E-08
chr1	6500001	6550000	2.87E-08	1.99E-08	3.52E-08
chr1	6550001	6600000	3.55E-08	2.05E-08	7.17E-08
chr1	6600001	6650000	2.87E-08	2.50E-08	6.44E-08
chr1	6650001	6700000	6.75E-08	2.29E-08	1.43E-07
chr1	6700001	6750000	3.88E-08	2.04E-08	9.69E-08
chr1	6750001	6800000	2.32E-08	2.10E-08	1.19E-07
chr1	6800001	6850000	1.72E-08	7.13E-08	8.35E-08
chr1	6850001	6900000	2.30E-08	6.61E-08	3.14E-08
chr1	6900001	6950000	1.50E-08	1.62E-08	6.36E-09
chr1	6950001	7000000	1.78E-08	5.31E-08	7.83E-09
chr1	7000001	7050000	2.93E-08	1.71E-07	4.02E-08
chr1	7050001	7100000	2.32E-08	8.16E-08	3.87E-08
chr1	7100001	7150000	3.71E-08	5.06E-08	4.50E-08
chr1	7150001	7200000	4.25E-08	4.48E-08	6.98E-08
chr1	7200001	7250000	2.38E-08	5.43E-08	4.16E-08
chr1	7250001	7300000	3.43E-08	5.71E-08	1.01E-07
chr1	7300001	7350000	3.93E-08	1.07E-07	2.60E-08
chr1	7350001	7400000	2.15E-08	8.41E-08	6.29E-08
chr1	7400001	7450000	3.05E-08	4.26E-08	2.08E-08
chr1	7450001	7500000	1.99E-08	3.18E-08	4.12E-08
chr1	7500001	7550000	4.59E-08	3.89E-08	1.09E-07
chr1	7550001	7600000	3.48E-08	4.08E-08	4.52E-08
chr1	7600001	7650000	9.00E-09	3.38E-10	1.57E-08
chr1	7650001	7700000	2.36E-08	2.79E-09	2.55E-08
chr1	7700001	7750000	4.33E-08	5.74E-09	8.11E-08
chr1	7750001	7800000	4.16E-08	3.22E-09	2.85E-08
chr1	7800001	7850000	3.43E-08	5.11E-08	6.50E-08
chr1	7850001	7900000	5.33E-08	3.76E-08	1.02E-07
chr1	7900001	7950000	5.91E-08	1.63E-08	1.05E-07
chr1	7950001	8000000	4.15E-08	5.76E-08	5.19E-08
chr1	8000001	8050000	4.26E-08	9.87E-08	4.58E-08
chr1	8050001	8100000	7.81E-08	4.75E-09	1.83E-07
chr1	8100001	8150000	5.40E-08	5.73E-08	8.73E-08
chr1	8150001	8200000	3.96E-08	1.69E-08	3.00E-08
chr1	8200001	8250000	1.70E-08	1.60E-08	4.27E-08
chr1	8250001	8300000	1.04E-08	1.66E-08	3.63E-08
chr1	8300001	8350000	2.60E-08	1.59E-08	2.92E-08
chr1	8350001	8400000	3.49E-08	1.72E-08	5.49E-08
chr1	8400001	8450000	3.36E-08	1.73E-08	5.09E-08
chr1	8450001	8500000	4.41E-08	1.40E-08	1.13E-07
chr1	8500001	8550000	8.01E-08	2.39E-08	5.06E-08
chr1	8550001	8600000	5.41E-08	3.00E-08	3.13E-08
chr1	8600001	8650000	5.85E-08	2.49E-08	2.80E-08
chr1	8650001	8700000	1.41E-08	1.90E-08	7.10E-09
chr1	8700001	8750000	1.52E-08	1.79E-08	8.07E-09
chr1	8750001	8800000	1.09E-08	1.56E-08	9.82E-09
chr1	8800001	8850000	4.36E-09	1.70E-10	2.78E-09
chr1	8850001	8900000	1.48E-08	8.66E-11	9.68E-09
chr1	8900001	8950000	5.82E-08	5.54E-09	4.12E-08
chr1	8950001	9000000	2.23E-08	2.09E-09	1.04E-08
chr1	9000001	9050000	3.99E-08	1.42E-07	8.37E-08
chr1	9050001	9100000	5.04E-08	1.47E-07	8.36E-08
chr1	9100001	9150000	5.90E-08	1.16E-07	9.90E-08
chr1	9150001	9200000	3.96E-08	6.94E-08	5.66E-08
chr1	9200001	9250000	3.02E-08	6.38E-08	5.40E-08
chr1	9250001	9300000	5.65E-08	3.16E-08	5.81E-08
chr1	9300001	9350000	2.52E-08	9.28E-08	5.71E-08
chr1	9350001	9400000	2.46E-08	4.13E-08	4.82E-08
chr1	9400001	9450000	2.63E-08	3.36E-08	4.90E-08
chr1	9450001	9500000	1.92E-08	3.10E-08	6.00E-08
chr1	9500001	9550000	1.95E-08	4.25E-08	2.37E-08
chr1	9550001	9600000	4.00E-08	2.79E-08	3.87E-08
chr1	9600001	9650000	2.21E-08	3.15E-08	4.86E-08
chr1	9650001	9700000	2.16E-08	2.39E-08	1.74E-08
chr1	9700001	9750000	8.25E-08	1.69E-09	5.39E-08
chr1	9750001	9800000	4.67E-08	7.11E-08	6.12E-08
chr1	9800001	9850000	8.67E-09	7.12E-08	2.77E-08
chr1	9850001	9900000	3.11E-08	6.46E-08	7.26E-08
chr1	9900001	9950000	3.23E-08	5.06E-08	3.74E-08
chr1	9950001	10000000	3.33E-08	4.97E-08	1.75E-08
chr1	10000001	10050000	1.45E-08	4.75E-09	2.56E-08
chr1	10050001	10100000	9.92E-09	2.45E-09	2.82E-08
chr1	10100001	10150000	2.41E-08	2.85E-09	2.70E-08
chr1	10150001	10200000	3.67E-08	2.51E-09	2.10E-08
chr1	10200001	10250000	3.16E-08	1.44E-09	2.86E-08
chr1	10250001	10300000	2.36E-08	8.04E-10	2.06E-08
chr1	10300001	10350000	4.81E-09	1.82E-09	3.24E-09
chr1	10350001	10400000	1.78E-08	9.82E-10	7.17E-09
chr1	10400001	10450000	1.93E-08	1.51E-09	7.10E-09
chr1	10450001	10500000	2.23E-08	1.91E-09	5.32E-09
chr1	10500001	10550000	2.86E-08	2.11E-09	1.78E-09
chr1	10550001	10600000	4.62E-08	2.08E-09	8.88E-09
chr1	10600001	10650000	4.72E-08	2.56E-08	2.07E-08
chr1	10650001	10700000	2.25E-08	6.54E-08	1.39E-08
chr1	10700001	10750000	2.38E-08	5.33E-08	1.40E-08
chr1	10750001	10800000	2.77E-08	6.89E-08	5.97E-08
chr1	10800001	10850000	1.20E-08	7.96E-08	1.87E-08
chr1	10850001	10900000	1.61E-08	4.54E-08	1.31E-08
chr1	10900001	10950000	2.81E-08	1.51E-07	1.01E-08
chr1	10950001	11000000	1.23E-08	1.34E-07	3.66E-08
chr1	11000001	11050000	2.84E-08	1.64E-07	1.72E-08
chr1	11050001	11100000	3.45E-08	1.45E-07	1.03E-08
chr1	11100001	11150000	1.64E-08	1.22E-07	5.38E-08
chr1	11150001	11200000	4.30E-08	8.31E-08	2.12E-08
chr1	11200001	11250000	2.39E-08	9.31E-08	2.37E-08
chr1	11250001	11300000	2.20E-08	1.05E-07	1.65E-08
chr1	11300001	11350000	3.52E-08	7.95E-08	2.25E-08
chr1	11350001	11400000	1.57E-08	1.10E-08	5.93E-09
chr1	11400001	11450000	1.78E-08	5.90E-08	1.58E-08
chr1	11450001	11500000	1.23E-08	5.20E-08	9.94E-09
chr1	11500001	11550000	9.15E-09	5.61E-08	5.93E-09
chr1	11550001	11600000	1.69E-08	5.84E-08	1.29E-08
chr1	11600001	11650000	5.26E-09	4.41E-08	6.90E-09
chr1	11650001	11700000	2.33E-08	4.29E-08	3.11E-08
chr1	11700001	11750000	4.24E-08	4.25E-08	4.29E-08
chr1	11750001	11800000	5.52E-08	2.18E-08	4.19E-08
chr1	11800001	11850000	6.23E-08	1.32E-08	4.39E-08
chr1	11850001	11900000	1.72E-08	1.95E-08	2.87E-08
chr1	11900001	11950000	2.61E-08	1.74E-08	4.77E-08
chr1	11950001	12000000	4.12E-08	6.55E-22	2.78E-08
chr1	12000001	12050000	1.41E-08	6.55E-22	1.71E-08
chr1	12050001	12100000	2.36E-09	6.55E-22	2.00E-09
chr1	12100001	12150000	1.42E-08	6.55E-22	4.36E-09
chr1	12150001	12200000	4.50E-08	6.55E-22	4.10E-08
chr1	12200001	12250000	6.19E-08	6.55E-22	7.11E-08
chr1	12250001	12300000	5.95E-08	6.55E-22	5.54E-08
chr1	12300001	12350000	4.16E-08	3.08E-08	3.49E-08
chr1	12350001	12400000	7.26E-08	1.70E-08	6.85E-08
chr1	12400001	12450000	2.90E-08	2.91E-08	7.19E-08
chr1	12450001	12500000	3.52E-08	2.91E-08	6.82E-08
chr1	12500001	12550000	3.55E-08	2.94E-08	6.82E-08
chr1	12550001	12600000	4.14E-08	9.44E-09	6.71E-08
chr1	12600001	12650000	3.81E-08	4.22E-09	5.21E-08
chr1	12650001	12700000	3.06E-08	3.37E-08	3.35E-08
chr1	12700001	12750000	1.95E-08	2.62E-08	1.79E-08
chr1	12750001	12800000	1.57E-08	5.95E-11	6.41E-08
chr1	12800001	12850000	1.27E-08	2.90E-08	5.65E-08
chr1	12850001	12900000	2.70E-08	8.70E-08	7.00E-08
chr1	12900001	12950000	4.91E-08	1.88E-07	5.67E-08
chr1	12950001	13000000	2.28E-08	8.62E-08	1.24E-07
chr1	13000001	13050000	3.35E-08	6.52E-08	7.43E-08
chr1	13050001	13100000	2.61E-08	5.65E-08	5.47E-08
chr1	13100001	13150000	2.54E-08	6.46E-08	1.14E-07
chr1	13150001	13200000	4.38E-08	4.34E-08	5.27E-08
chr1	13200001	13250000	3.54E-08	3.98E-08	5.74E-08
chr1	13250001	13300000	5.35E-08	4.73E-08	7.48E-08
chr1	13300001	13350000	2.01E-08	8.51E-08	4.57E-08
chr1	13350001	13400000	2.98E-08	8.56E-08	3.89E-08
chr1	13400001	13450000	1.84E-08	4.39E-08	6.58E-08
chr1	13450001	13500000	1.64E-08	4.73E-08	1.85E-08
chr1	13500001	13550000	2.51E-08	7.33E-08	5.81E-08
chr1	13550001	13600000	4.35E-08	5.87E-08	1.84E-08
chr1	13600001	13650000	2.71E-08	3.55E-08	6.95E-08
chr1	13650001	13700000	4.89E-08	4.46E-08	6.15E-08
chr1	13700001	13750000	3.22E-08	5.82E-08	8.06E-08
chr1	13750001	13800000	3.08E-08	6.19E-08	6.12E-08
chr1	13800001	13850000	3.35E-08	5.02E-08	7.95E-08
chr1	13850001	13900000	2.10E-08	3.95E-08	6.16E-08
